MedicationCui,MedicationStr,ClassCui,ClassStr
C0004057,aspirin,C0002771,Analgesics
C0004057,aspirin,C0002771,Analgesic
C0004057,aspirin,C0002771,"Analgesic, NOS"
C0004057,aspirin,C0002771,Anodynes
C0004057,aspirin,C0002771,anodyne
C0004057,aspirin,C0002771,Analgesic Agents
C0004057,aspirin,C0002771,Analgesic agent
C0004057,aspirin,C0002771,"Agents, Analgesic"
C0004057,aspirin,C0002771,Analgesic Drugs
C0004057,aspirin,C0002771,analgesic drug
C0004057,aspirin,C0002771,analgesics drugs
C0004057,aspirin,C0002771,analgesics drug
C0004057,aspirin,C0002771,"Drugs, Analgesic"
C0004057,aspirin,C0002771,pain relieving drugs
C0004057,aspirin,C0002771,Pain killers
C0004057,aspirin,C0002771,Pain Relievers
C0004057,aspirin,C0002771,Medicinal product acting as analgesic agent (product)
C0004057,aspirin,C0002771,Analgesic product
C0004057,aspirin,C0002771,Analgesic (product)
C0004057,aspirin,C0002771,Analgesic product (substance)
C0004057,aspirin,C0002771,Analgesic (substance)
C0004057,aspirin,C0002771,Analgesic Preparation
C0004057,aspirin,C0002771,Pain medicine
C0004057,aspirin,C0002771,Pain medicines
C0004057,aspirin,C0002771,Pain-relief Medication
C0004057,aspirin,C0002771,analgesics (medication)
C0004057,aspirin,C0002771,analgesics (pain medication)
C0004057,aspirin,C0002771,pain medication
C0004057,aspirin,C0002771,Painkillers
C0004057,aspirin,C0002771,pain killer drug
C0004057,aspirin,C0003211,"Anti-Inflammatory Agents, Non-Steroidal"
C0004057,aspirin,C0003211,NON-STEROIDAL ANTI-INFLAMMATORY AGENTS
C0004057,aspirin,C0003211,"Non-steroidal anti-inflammatory agent, NOS"
C0004057,aspirin,C0003211,"Agent, Non-Steroidal Anti-Inflammatory"
C0004057,aspirin,C0003211,"Anti-Inflammatory Agent, Non-Steroidal"
C0004057,aspirin,C0003211,Non Steroidal Anti Inflammatory Agent
C0004057,aspirin,C0003211,Non-Steroidal Anti-Inflammatory Agent
C0004057,aspirin,C0003211,Non Steroidal Anti Inflammatory Agents
C0004057,aspirin,C0003211,NSAIDs
C0004057,aspirin,C0003211,NSAID
C0004057,aspirin,C0003211,Non-steroid anti-inflam. drug
C0004057,aspirin,C0003211,NSAID - Non-steroidal anti-inflammatory drug
C0004057,aspirin,C0003211,Non-steroidal anti-inflammatory drug
C0004057,aspirin,C0003211,603-604 NON-STEROIDAL ANTI-INFLAMMATORY AGENTS
C0004057,aspirin,C0003211,NSAID medications
C0004057,aspirin,C0003211,Non-steroidal anti-inflammatory agent (product)
C0004057,aspirin,C0003211,Non-steroidal anti-inflammatory agent (substance)
C0004057,aspirin,C0003211,Non-steroidal anti-inflammatory product
C0004057,aspirin,C0003211,Non-steroidal anti-inflammatory product (substance)
C0004057,aspirin,C0003211,"Anti Inflammatory Agents, Nonsteroidal"
C0004057,aspirin,C0003211,Nonsteroidal anti-inflammatory agents
C0004057,aspirin,C0003211,Nonsteroidal anti-inflammatory agent
C0004057,aspirin,C0003211,"Agent, Nonsteroidal Anti-Inflammatory"
C0004057,aspirin,C0003211,"Anti-Inflammatory Agent, Nonsteroidal"
C0004057,aspirin,C0003211,Nonsteroidal Anti Inflammatory Agent
C0004057,aspirin,C0003211,Nonsteroidal Anti Inflammatory Agents
C0004057,aspirin,C0003211,"Antiinflammatory Agents, Non Steroidal"
C0004057,aspirin,C0003211,"Antiinflammatory Agents, Nonsteroidal"
C0004057,aspirin,C0003211,NONSTEROIDAL ANTIINFLAMMATORY AGENTS
C0004057,aspirin,C0003211,ANTIINFLAMMATORY AGENTS NONSTEROIDAL
C0004057,aspirin,C0003211,nonsteroidal antiinflammatory agent
C0004057,aspirin,C0003211,Nonsteroidal Anti-inflammatory Drugs
C0004057,aspirin,C0003211,nonsteroidal anti-inflammatory drug
C0004057,aspirin,C0003211,Nonsteroidal Antiinflammatory Drug
C0004057,aspirin,C0003211,Nonsteroidal antiinflammatory drugs
C0004057,aspirin,C0003211,ANTI INFLAMM AGENTS NONSTEROIDAL
C0004057,aspirin,C0003211,NSAIA
C0004057,aspirin,C0003211,ANTIINFLAMM AGENTS NON STEROIDAL
C0004057,aspirin,C0003211,NON STEROIDAL ANTI INFLAMM AGENTS
C0004057,aspirin,C0003211,AIANS
C0004057,aspirin,C0003211,nonsteroidal anti-inflammatory drugs (medication)
C0004057,aspirin,C0003211,Non-steroidal anti-inflammatory drug (substance)
C0004057,aspirin,C0003211,nonsteroidal anti-inflammatory drugs (NSAIDs)
C0004057,aspirin,C0003419,Antipyretics
C0004057,aspirin,C0003419,antipyretic
C0004057,aspirin,C0003419,"Antipyretic, NOS"
C0004057,aspirin,C0003419,analgesics antipyretics
C0004057,aspirin,C0003419,Antipyretic Drugs
C0004057,aspirin,C0003419,antipyretic drug
C0004057,aspirin,C0003419,Antipyretic (substance)
C0004057,aspirin,C0003419,antipyretics (medication)
C0004057,aspirin,C0003419,Antipyretic Agents
C0004057,aspirin,C0003419,"Agent, Antipyretic"
C0004057,aspirin,C0003419,Antipyretic Agent
