Key | Superior Key | Key Cui | Superior Key Cui | Key Semantictype | Superior Key Semantictype | Key Location | Superior Key Location
prepare | prepare | [C1521827] | [C1521827]| [ activity ]  |  [ activity ]  | 12278 | 12278
type 2 | type 2 diabetes | [C0441730] | [C0011860]| [ classification ]  |  [ disease or syndrome ]  | 178043 | 178043
half | half | [C2825407] | [C2825407]| [ quantitative concept ]  |  [ quantitative concept ]  | 80385 | 80385
information technology | information technology | [C0683867] | [C0683867]| [ intellectual product ]  |  [ intellectual product ]  | 195650 | 195650
infliximab | infliximab therapy | [C0666743] | [C4076075]| [ amino acid, peptide, or protein / pharmacologic substance / immunologic factor ]  |  [ therapeutic or preventive procedure ]  | 118766 | 118766
other therapy | other therapy | [C0418967] | [C0418967]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 218885 | 218885
4 weeks | 4 weeks | [C1442465] | [C1442465]| [ temporal concept ]  |  [ temporal concept ]  | 56145 | 56145
withdrawn | withdrawn | [C2348571, C2349954] | [C2348571, C2349954]| [ functional concept ]  ;  [ activity ]  |  [ functional concept ]  ;  [ activity ]  | 138969 | 138969
serum creatinine | serum creatinine | [C0600061] | [C0600061]| [ finding ]  |  [ finding ]  | 55868 | 55868
pico | pico | [C1553037] | [C1553037]| [ quantitative concept ]  |  [ quantitative concept ]  | 15271 | 15271
ccp | ccp | [C1525410, C1704514] | [C1525410, C1704514]| [ amino acid, peptide, or protein / immunologic factor ]  ;  [ finding ]  |  [ amino acid, peptide, or protein / immunologic factor ]  ;  [ finding ]  | 204823 | 204823
approved | approved | [C1549489] | [C1549489]| [ idea or concept ]  |  [ idea or concept ]  | 68937 | 68937
ted | ted | [C1539997] | [C1539997]| [ gene or genome ]  |  [ gene or genome ]  | 1429 | 1429
orthopedic | orthopedic footwear | [C0029355] | [C0813040]| [ biomedical occupation or discipline ]  |  [ medical device ]  | 271573 | 271573
pick | pick | [C1707391, C1826583] | [C1707391, C1826583]| [ activity ]  ;  [ gene or genome ]  |  [ activity ]  ;  [ gene or genome ]  | 130843 | 130843
outcomes | outcomes | [C0085415] | [C0085415]| [ qualitative concept ]  |  [ qualitative concept ]  | 1270 | 1270
primary care management | primary care management | [C4545157] | [C4545157]| [ health care activity ]  |  [ health care activity ]  | 178380 | 178380
ten | ten | [C0205456] | [C0205456]| [ quantitative concept ]  |  [ quantitative concept ]  | 842 | 842
tem | tem | [C1540034] | [C1540034]| [ gene or genome ]  |  [ gene or genome ]  | 3338 | 3338
energy | energy conservation techniques | [C1442080] | [C1820846]| [ quantitative concept ]  |  [ health care activity ]  | 167374 | 167374
ter | ter | [C1415273] | [C1415273]| [ gene or genome ]  |  [ gene or genome ]  | 887 | 887
solid | solid organ | [C1336028, C1378566] | [C0440790]| [ finding ]  ;  [ biomedical or dental material ]  |  [ body part, organ, or organ component ]  | 31194 | 31194
cdc | cdc | [C0007670] | [C0007670]| [ health care related organization ]  |  [ health care related organization ]  | 29253 | 29253
% | % | [C0439165] | [C0439165]| [ quantitative concept ]  |  [ quantitative concept ]  | 5722 | 5722
narrative | narrative | [C1135957] | [C1135957]| [ intellectual product ]  |  [ intellectual product ]  | 22242 | 22242
suppressive | suppressive | [C0205367] | [C0205367]| [ functional concept ]  |  [ functional concept ]  | 61046 | 61046
ibuprofen | ibuprofen | [C0020740] | [C0020740]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 221397 | 221397
* | * | [C5444316, C5444317, C5444318, C5445274] | [C5444316, C5444317, C5444318, C5445274]| [ finding ]  ;  [ finding ]  ;  [ temporal concept ]  ;  [ finding ]  |  [ finding ]  ;  [ finding ]  ;  [ temporal concept ]  ;  [ finding ]  | 17648 | 17648
standards | standards of care | [C0038137, C0175675] | [C2936643]| [ functional concept ]  ;  [ qualitative concept ]  |  [ health care activity ]  | 59520 | 59520
stabilized | stabilized | [C0184512] | [C0184512]| [ finding ]  |  [ finding ]  | 178422 | 178422
triple | triple | [C0205174] | [C0205174]| [ quantitative concept ]  |  [ quantitative concept ]  | 26442 | 26442
eleven | eleven | [C0445482] | [C0445482]| [ organism attribute ]  |  [ organism attribute ]  | 418968 | 418968
< | < 5 years | [C0439092] | [C4086543]| [ quantitative concept ]  |  [ finding ]  | 420754 | 420754
= | = | [C0439089] | [C0439089]| [ quantitative concept ]  |  [ quantitative concept ]  | 141452 | 141452
> | > 2 years | [C0439093] | [C3843647]| [ quantitative concept ]  |  [ finding ]  | 420061 | 420061
cardiac | cardiac disease | [C1314974] | [C0018799]| [ intellectual product ]  |  [ disease or syndrome ]  | 21220 | 21220
inflammatory arthritis | inflammatory arthritis | [C0003864] | [C0003864]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 6330 | 6330
poorly | poorly | [C0205169] | [C0205169]| [ qualitative concept ]  |  [ qualitative concept ]  | 234848 | 234848
role | role | [C1704326, C1705809, C1705810, C1705811, C1705812] | [C1704326, C1705809, C1705810, C1705811, C1705812]| [ intellectual product ]  ;  [ conceptual entity ]  ;  [ qualitative concept ]  ;  [ conceptual entity ]  ;  [ conceptual entity ]  |  [ intellectual product ]  ;  [ conceptual entity ]  ;  [ qualitative concept ]  ;  [ conceptual entity ]  ;  [ conceptual entity ]  | 12301 | 12301
erosive | erosive synovitis | [C0439679] | [C3693390]| [ qualitative concept ]  |  [ disease or syndrome ]  | 133195 | 133195
turk | turk | [C0337911] | [C0337911]| [ population group ]  |  [ population group ]  | 421012 | 421012
example | example | [C1707959] | [C1707959]| [ conceptual entity ]  |  [ conceptual entity ]  | 18180 | 18180
gold | gold salts | [C1304897] | [C0302210]| [ qualitative concept ]  |  [ pharmacologic substance / inorganic chemical ]  | 145873 | 145873
result | as a result of | [C1274040] | [C0332282]| [ functional concept ]  |  [ temporal concept ]  | 181336 | 181331
venous | venous | [C0348013] | [C0348013]| [ spatial concept ]  |  [ spatial concept ]  | 71570 | 71570
same | same as | [C1692345] | [C1278655]| [ idea or concept ]  |  [ classification ]  | 61726 | 61726
watts | watts | [C0439261] | [C0439261]| [ quantitative concept ]  |  [ quantitative concept ]  | 131621 | 131621
procedures | procedures | [C1550373] | [C1550373]| [ intellectual product ]  |  [ intellectual product ]  | 144668 | 144668
dieticians | dieticians | [C3536818] | [C3536818]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 196810 | 196810
after | after treatment | [C0687676] | [C1882428]| [ temporal concept ]  |  [ temporal concept ]  | 110305 | 110305
dmards | dmards | [C0242708] | [C0242708]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 5071 | 5071
hand | hand exercises | [C1281583] | [C0454330]| [ body part, organ, or organ component ]  |  [ therapeutic or preventive procedure ]  | 239360 | 239360
policy | policy | [C0242456] | [C0242456]| [ intellectual product ]  |  [ intellectual product ]  | 1993 | 1993
glucose | glucose | [C0337438] | [C0337438]| [ laboratory procedure ]  |  [ laboratory procedure ]  | 150491 | 150491
address | address | [C1442065] | [C1442065]| [ intellectual product ]  |  [ intellectual product ]  | 5449 | 5449
posture | posture | [C1262869] | [C1262869]| [ finding ]  |  [ finding ]  | 239562 | 239562
bridge therapy | bridge therapy | [C5420848] | [C5420848]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 215972 | 215972
blood | white blood cell count | [C0851353] | [C0427512]| [ disease or syndrome ]  |  [ laboratory or test result ]  | 150945 | 150939
exacerbation | exacerbation of disease | [C4086268] | [C0235874]| [ finding ]  |  [ finding ]  | 234938 | 234938
sale | sale | [C1555584] | [C1555584]| [ idea or concept ]  |  [ idea or concept ]  | 88725 | 88725
heightened | heightened | [C0442803, C0442805] | [C0442803, C0442805]| [ qualitative concept ]  ;  [ functional concept ]  |  [ qualitative concept ]  ;  [ functional concept ]  | 219429 | 219429
imab | imab | [C0049916] | [C0049916]| [ organic chemical / indicator, reagent, or diagnostic aid ]  |  [ organic chemical / indicator, reagent, or diagnostic aid ]  | 17301 | 17301
education about arthritis | education about arthritis | [C4316461] | [C4316461]| [ educational activity ]  |  [ educational activity ]  | 267008 | 267008
thank | thank | [C1420816] | [C1420816]| [ gene or genome ]  |  [ gene or genome ]  | 86820 | 86820
information | information technology | [C0870705] | [C0683867]| [ idea or concept ]  |  [ intellectual product ]  | 195650 | 195650
regain | regain | [C1875723] | [C1875723]| [ food ]  |  [ food ]  | 239960 | 239960
surgery | surgery | [C1274039, C1457907] | [C1274039, C1457907]| [ biomedical occupation or discipline ]  ;  [ finding ]  |  [ biomedical occupation or discipline ]  ;  [ finding ]  | 155607 | 155607
november | november | [C3828767] | [C3828767]| [ temporal concept ]  |  [ temporal concept ]  | 163641 | 163641
excess mortality | excess mortality | [C0079320] | [C0079320]| [ quantitative concept ]  |  [ quantitative concept ]  | 200629 | 200629
penicillamine | penicillamine | [C0030817] | [C0030817]| [ amino acid, peptide, or protein / pharmacologic substance ]  |  [ amino acid, peptide, or protein / pharmacologic substance ]  | 143413 | 143413
vaccinated | vaccinated | [C1116171] | [C1116171]| [ finding ]  |  [ finding ]  | 74561 | 74561
good | good | [C1551023, C1561563, C1610541] | [C1551023, C1561563, C1610541]| [ idea or concept ]  ;  [ qualitative concept ]  ;  [ idea or concept ]  |  [ idea or concept ]  ;  [ qualitative concept ]  ;  [ idea or concept ]  | 159341 | 159341
shingles | shingles | [C0019360] | [C0019360]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 72664 | 72664
tim | tim | [C1313407, C1332111, C1420737] | [C1313407, C1332111, C1420737]| [ amino acid, peptide, or protein / immunologic factor / receptor ]  ;  [ gene or genome ]  ;  [ gene or genome ]  |  [ amino acid, peptide, or protein / immunologic factor / receptor ]  ;  [ gene or genome ]  ;  [ gene or genome ]  | 714 | 714
serious | serious | [C1551395, C1552745, C1561576] | [C1551395, C1552745, C1561576]| [ finding ]  ;  [ finding ]  ;  [ idea or concept ]  |  [ finding ]  ;  [ finding ]  ;  [ idea or concept ]  | 5415 | 5415
others | others | [C1955473] | [C1955473]| [ finding ]  |  [ finding ]  | 131334 | 131334
tis | tis | [C0475413, C0556987] | [C0475413, C0556987]| [ finding ]  ;  [ temporal concept ]  |  [ finding ]  ;  [ temporal concept ]  | 7 | 7
chf | chf | [C0262212] | [C0262212]| [ body space or junction ]  |  [ body space or junction ]  | 65080 | 65080
strength training | strength training | [C0872279] | [C0872279]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 268628 | 268628
well-being | well-being | [C0018684] | [C0018684]| [ idea or concept ]  |  [ idea or concept ]  | 135765 | 135765
lymphoproliferative disease | lymphoproliferative disease | [C0024314] | [C0024314]| [ neoplastic process ]  |  [ neoplastic process ]  | 116555 | 116555
of skin cancer | of skin cancer | [C0007114] | [C0007114]| [ neoplastic process ]  |  [ neoplastic process ]  | 64391 | 64391
walker | walker | [C0043016] | [C0043016]| [ medical device ]  |  [ medical device ]  | 97010 | 97010
brief intervention | brief intervention | [C0814459] | [C0814459]| [ health care activity ]  |  [ health care activity ]  | 262876 | 262876
history of tuberculosis | history of tuberculosis | [C0455460] | [C0455460]| [ finding ]  |  [ finding ]  | 118394 | 118394
pollock | pollock | [C0453004] | [C0453004]| [ food ]  |  [ food ]  | 171132 | 171132
divergence | divergence | [C0443204] | [C0443204]| [ spatial concept ]  |  [ spatial concept ]  | 406205 | 406205
technol assess | technol assess | [C0039422] | [C0039422]| [ health care activity ]  |  [ health care activity ]  | 100301 | 100301
patient need | patient need | [C0686904] | [C0686904]| [ functional concept ]  |  [ functional concept ]  | 196112 | 196112
erosion | erosion | [C1959609] | [C1959609]| [ pathologic function ]  |  [ pathologic function ]  | 100737 | 100737
compatible with | compatible with | [C1524057] | [C1524057]| [ qualitative concept ]  |  [ qualitative concept ]  | 439156 | 439156
black stool | black stool | [C0474585] | [C0474585]| [ sign or symptom ]  |  [ sign or symptom ]  | 149356 | 149356
rheumatic diseases | rheumatic diseases | [C0035435] | [C0035435]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 125040 | 125040
concentrations | concentrations | [C0086045] | [C0086045]| [ mental process ]  |  [ mental process ]  | 201656 | 201656
melanoma and non-melanoma skin cancer | melanoma and non-melanoma skin cancer | [C0007114] | [C0007114]| [ neoplastic process ]  |  [ neoplastic process ]  | 64052 | 64052
applied | applied research | [C4048755] | [C0681834]| [ functional concept ]  |  [ research activity ]  | 449589 | 449589
provided | provided | [C1999230] | [C1999230]| [ activity ]  |  [ activity ]  | 10994 | 10994
cis | cis | [C1332762] | [C1332762]| [ gene or genome ]  |  [ gene or genome ]  | 1569 | 1569
general population | general population | [C0683971] | [C0683971]| [ population group ]  |  [ population group ]  | 74050 | 74050
gastric bleed | gastric bleed | [C0235325] | [C0235325]| [ pathologic function ]  |  [ pathologic function ]  | 138327 | 138327
society | society | [C0037455] | [C0037455]| [ organization ]  |  [ organization ]  | 1736 | 1736
bacterial | recurrent bacterial infection | [C0521009] | [C1844383]| [ qualitative concept ]  |  [ finding ]  | 393580 | 393570
denmark | denmark | [C0011318] | [C0011318]| [ geographic area ]  |  [ geographic area ]  | 410300 | 410300
provider | provider | [C1138603] | [C1138603]| [ functional concept ]  |  [ functional concept ]  | 136051 | 136051
provides | provides | [C0359589] | [C0359589]| [ food ]  |  [ food ]  | 5199 | 5199
