Key | Superior Key | Key Cui | Superior Key Cui | Key Semantictype | Superior Key Semantictype | Key Location | Superior Key Location
metformin and acarbose | metformin and acarbose | [C3871467] | [C3871467]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 58466 | 58466
type 2 | type 2 diabetes mellitus | [C0441730] | [C0011860]| [ classification ]  |  [ disease or syndrome ]  | 3474 | 3474
ccb | ccb | [C0006684, C0175556] | [C0006684, C0175556]| [ pharmacologic substance ]  ;  [ body part, organ, or organ component ]  |  [ pharmacologic substance ]  ;  [ body part, organ, or organ component ]  | 384623 | 384623
half | half | [C2825407] | [C2825407]| [ quantitative concept ]  |  [ quantitative concept ]  | 3594 | 3594
type 1 | type 1 diabetes | [C0441729] | [C0011854]| [ classification ]  |  [ disease or syndrome ]  | 184722 | 184722
information technology | information technology | [C0683867] | [C0683867]| [ intellectual product ]  |  [ intellectual product ]  | 268566 | 268566
unavailable | unavailable | [C0686905] | [C0686905]| [ qualitative concept ]  |  [ qualitative concept ]  | 168412 | 168412
surgeon | surgeon | [C0582175] | [C0582175]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 175527 | 175527
serum creatinine | serum creatinine measurement | [C0600061] | [C0201976]| [ finding ]  |  [ laboratory procedure ]  | 450771 | 450771
equations | equations | [C0552449] | [C0552449]| [ conceptual entity ]  |  [ conceptual entity ]  | 94913 | 94913
approved | approved | [C1549489] | [C1549489]| [ idea or concept ]  |  [ idea or concept ]  | 20417 | 20417
health care team | health care team | [C0086390] | [C0086390]| [ health care activity ]  |  [ health care activity ]  | 502812 | 502812
cct | cct | [C1426689] | [C1426689]| [ gene or genome ]  |  [ gene or genome ]  | 6124 | 6124
outcomes | outcomes studies | [C0085415] | [C0543472]| [ qualitative concept ]  |  [ research activity ]  | 304236 | 304236
tel | tel | [C0796520] | [C0796520]| [ gene or genome ]  |  [ gene or genome ]  | 34912 | 34912
very high | very high risk | [C0442804] | [C4740675]| [ finding ]  |  [ finding ]  | 11433 | 11433
ten | ten | [C0205456] | [C0205456]| [ quantitative concept ]  |  [ quantitative concept ]  | 7766 | 7766
tem | tem | [C1540034] | [C1540034]| [ gene or genome ]  |  [ gene or genome ]  | 34243 | 34243
energy | energy intake | [C1442080] | [C0006777]| [ quantitative concept ]  |  [ quantitative concept ]  | 146116 | 146116
ter | ter | [C1415273] | [C1415273]| [ gene or genome ]  |  [ gene or genome ]  | 109 | 109
cda | cda | [C1275685, C1413247] | [C1275685, C1413247]| [ disease or syndrome ]  ;  [ gene or genome ]  |  [ disease or syndrome ]  ;  [ gene or genome ]  | 55169 | 55169
tes | tes | [C1422793] | [C1422793]| [ gene or genome ]  |  [ gene or genome ]  | 394 | 394
diagnostic testing | diagnostic testing | [C0525034] | [C0525034]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 178032 | 178032
% | % | [C0439165] | [C0439165]| [ quantitative concept ]  |  [ quantitative concept ]  | 4575 | 4575
narrative | narrative | [C1135957] | [C1135957]| [ intellectual product ]  |  [ intellectual product ]  | 266398 | 266398
switzerland | switzerland | [C0039021] | [C0039021]| [ geographic area ]  |  [ geographic area ]  | 511212 | 511212
emotional problems | emotional problems | [C0677660] | [C0677660]| [ mental or behavioral dysfunction ]  |  [ mental or behavioral dysfunction ]  | 292676 | 292676
competent | competent | [C0086035] | [C0086035]| [ qualitative concept ]  |  [ qualitative concept ]  | 309291 | 309291
* | * | [C5444316, C5444317, C5444318, C5445274] | [C5444316, C5444317, C5444318, C5445274]| [ finding ]  ;  [ finding ]  ;  [ temporal concept ]  ;  [ finding ]  |  [ finding ]  ;  [ finding ]  ;  [ temporal concept ]  ;  [ finding ]  | 50831 | 50831
+ | + | [C5235075] | [C5235075]| [ finding ]  |  [ finding ]  | 143972 | 143972
avoidance | avoidance | [C0870186] | [C0870186]| [ mental process ]  |  [ mental process ]  | 72596 | 72596
tensin | tensin | [C1823460] | [C1823460]| [ gene or genome ]  |  [ gene or genome ]  | 26390 | 26390
standards | standards of care | [C0038137, C0175675] | [C2936643]| [ functional concept ]  ;  [ qualitative concept ]  |  [ health care activity ]  | 127461 | 127461
moore | moore | [C0751115] | [C0751115]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 345454 | 345454
size | size | [C1552077, C1879945] | [C1552077, C1879945]| [ quantitative concept ]  ;  [ intellectual product ]  |  [ quantitative concept ]  ;  [ intellectual product ]  | 66271 | 66271
excretion | excretion rate | [C0504085] | [C2827741]| [ body substance ]  |  [ quantitative concept ]  | 158594 | 158594
triple | triple | [C0205174] | [C0205174]| [ quantitative concept ]  |  [ quantitative concept ]  | 18968 | 18968
left | left ventricular hypertrophy | [C1552822] | [C0232306]| [ functional concept ]  |  [ finding ]  | 205863 | 205863
hip circumference | hip circumference | [C0562350] | [C0562350]| [ clinical attribute ]  |  [ clinical attribute ]  | 104301 | 104301
eleven | eleven | [C0445482] | [C0445482]| [ organism attribute ]  |  [ organism attribute ]  | 49078 | 49078
< | < | [C0439092] | [C0439092]| [ quantitative concept ]  |  [ quantitative concept ]  | 8137 | 8137
= | = | [C0439089] | [C0439089]| [ quantitative concept ]  |  [ quantitative concept ]  | 23095 | 23095
