MedicationCui,MedicationStr,ClassCui,ClassStr
C0000992,acetohexamide,C0000992,acetohexamide
C0000992,acetohexamide,C0000992,"Benzenesulfonamide, 4-acetyl-N-((cyclohexylamino)carbonyl)-"
C0000992,acetohexamide,C0000992,4-acetyl-N-((cyclohexylamino)carbonyl)benzenesulfonamide
C0000992,acetohexamide,C0000992,Acetohexamid
C0000992,acetohexamide,C0000992,1-[(4-acetylbenzene)sulfonyl]-3-cyclohexylurea 4-acetyl-N-(cyclohexylcarbamoyl)benzenesulfonamide
C0000992,acetohexamide,C0000992,1-((p-Acetylphenyl)sulfonyl)-3-cyclohexylurea
C0000992,acetohexamide,C0000992,Acetohexamida
C0000992,acetohexamide,C0000992,Acetohexamidum
C0000992,acetohexamide,C0000992,Product containing acetohexamide (medicinal product)
C0000992,acetohexamide,C0000992,Acetohexamide-containing product
C0000992,acetohexamide,C0000992,Product containing acetohexamide
C0000992,acetohexamide,C0000992,Acetohexamide - chemical
C0000992,acetohexamide,C0000992,Acetohexamide product
C0000992,acetohexamide,C0000992,Acetohexamide (product)
C0000992,acetohexamide,C0000992,Acetohexamide (substance)
C0000992,acetohexamide,C0000992,Acetylcholine chloride - chemical
C0000992,acetohexamide,C0000992,1-(p-Acetylbenzenesulfonyl)-3-Cyclohexylurea
C0000992,acetohexamide,C0000992,3-Cyclohexyl-1-(p-acetylphenylsulfonyl)urea
C0000992,acetohexamide,C0000992,N-(p-Acetylbenzenesulfonyl)-N'-cyclohexylurea
C0000992,acetohexamide,C0000992,N-(p-Acetylphenylsulfonyl)-N'-cyclohexylurea
C0000992,acetohexamide,C0000992,acetohexamide (medication)
C0000992,acetohexamide,C0000992,Acetohexamide - chemical (substance)
C0000992,acetohexamide,C0000992,Acetylcholine chloride - chemical (substance)
C0000992,acetohexamide,C0020616,Hypoglycemic Agents
C0000992,acetohexamide,C0020616,hypoglycemic agent
C0000992,acetohexamide,C0020616,Hypoglycaemic agent
C0000992,acetohexamide,C0020616,"Agent, Hypoglycemic"
C0000992,acetohexamide,C0020616,"Agents, Hypoglycemic"
C0000992,acetohexamide,C0020616,Hypoglycemic Drugs
C0000992,acetohexamide,C0020616,Hypoglycemic drug
C0000992,acetohexamide,C0020616,"Hypoglycemic drug, NOS"
C0000992,acetohexamide,C0020616,"Hypoglycaemic drug, NOS"
C0000992,acetohexamide,C0020616,"Drug, Hypoglycemic"
C0000992,acetohexamide,C0020616,Hypoglycaemic drug
C0000992,acetohexamide,C0020616,"Drugs, Hypoglycemic"
C0000992,acetohexamide,C0020616,Hypoglycemics
C0000992,acetohexamide,C0020616,hypoglycaemic
C0000992,acetohexamide,C0020616,hypoglycemic
C0000992,acetohexamide,C0020616,Drugs for hypoglycaemia
C0000992,acetohexamide,C0020616,Drugs for hypoglycemia
C0000992,acetohexamide,C0020616,Antihyperglycemic Agents
C0000992,acetohexamide,C0020616,"Agent, Antihyperglycemic"
C0000992,acetohexamide,C0020616,Antihyperglycemic Agent
C0000992,acetohexamide,C0020616,"Agents, Antihyperglycemic"
C0000992,acetohexamide,C0020616,Hypoglycemic agent (product)
C0000992,acetohexamide,C0020616,Hypoglycemic agent (substance)
C0000992,acetohexamide,C0020616,Drugs for hypoglycemia (product)
C0000992,acetohexamide,C0020616,Drugs for hypoglycemia (substance)
C0000992,acetohexamide,C0020616,Hypoglycemic drug (substance)
C0000992,acetohexamide,C0020616,Hypoglycemic product
C0000992,acetohexamide,C0020616,Hypoglycaemic product
C0000992,acetohexamide,C0020616,Hypoglycemic product (product)
C0000992,acetohexamide,C0020616,Anti-hyperglycemics
C0000992,acetohexamide,C0020616,Antihyperglycemics
C0000992,acetohexamide,C0020616,antihyperglycemic
C0000992,acetohexamide,C0020616,Hypoglycemic Medicines
C0000992,acetohexamide,C0020616,Diabetes Medicines
C0000992,acetohexamide,C0038766,Sulfonylurea Compounds
C0000992,acetohexamide,C0038766,Sulphonylurea compounds
C0000992,acetohexamide,C0038766,"Compounds, Sulfonylurea"
C0000992,acetohexamide,C0038766,Sulfonylurea
C0000992,acetohexamide,C0038766,SULFONYLUREAS
C0000992,acetohexamide,C0038766,"Sulfonylurea, NOS"
C0000992,acetohexamide,C0038766,Sulphonylurea
C0000992,acetohexamide,C0038766,sulphonylureas
C0000992,acetohexamide,C0038766,Sulphonylurea product
C0000992,acetohexamide,C0038766,Sulfonylurea product
C0000992,acetohexamide,C0038766,Sulfonylurea (product)
C0000992,acetohexamide,C0038766,Sulphonylurea and its derivs
C0000992,acetohexamide,C0038766,Sulfonylurea and its derivs
C0000992,acetohexamide,C0038766,Sulphonylurea and its derivatives
C0000992,acetohexamide,C0038766,Sulfonylurea and its derivatives
C0000992,acetohexamide,C0038766,A24 SULFONYLUREAS
C0000992,acetohexamide,C0038766,Sulfonylurea-containing product
C0000992,acetohexamide,C0038766,Product containing sulfonylurea
C0000992,acetohexamide,C0038766,Product containing sulfonylurea (medicinal product)
